Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
5366,26,8,Arcade,5,Multiplayer,Mature
5346,3,3,Action,3,Steam Achievements,Mature
5324,5,4,Platformer,6,Atmospheric,Mature
5321,8,4,RPG,4,Atmospheric,Mature
5315,4,5,Action,3,Steam Achievements,Mature
5314,4,4,Shooter,3,Steam Achievements,Mature
5302,18,5,RPG,5,Steam Achievements,Mature
5290,5,4,Indie,5,Steam Achievements,Mature
5288,13,3,Adventure,4,Steam Achievements,Mature
5288,9,6,Shooter,5,Steam Achievements,Mature
5267,6,5,Massively Multiplayer,3,Steam Achievements,Mature
5267,4,5,Simulation,4,Steam Achievements,Mature
5264,12,4,Shooter,5,Atmospheric,Mature
5264,1,3,Action,1,Multiplayer,Mature
5242,5,3,Adventure,3,Steam Achievements,Mature
5208,12,4,Adventure,5,Steam Achievements,Mature
5198,0,1,Shooter,1,Atmospheric,Mature
5194,17,3,Action,4,Multiplayer,Mature
5164,6,2,Platformer,1,Steam Achievements,Mature
5126,21,5,Action,3,Horror,Mature
5123,5,2,Action,1,Steam Achievements,Mature
5112,2,6,Fighting,5,Multiplayer,Mature
5099,4,5,Indie,3,Steam Achievements,Mature
5080,5,8,Puzzle,8,steam-trading-cards,Mature
5072,7,3,Action,3,Steam Achievements,Mature
5068,5,3,Action,4,Multiplayer,Everyone 10+
5062,2,6,Action,7,Atmospheric,Everyone 10+
5057,2,1,Shooter,1,Steam Achievements,Everyone 10+
5057,4,6,Indie,3,Multiplayer,Everyone 10+
5054,4,3,Shooter,4,Atmospheric,Everyone 10+
5029,2,3,Action,3,Steam Achievements,Everyone 10+
5026,4,5,Indie,4,Steam Achievements,Everyone 10+
4986,3,4,Indie,6,Steam Achievements,Everyone 10+
4978,10,6,RPG,6,Steam Achievements,Everyone 10+
4955,17,4,Action,4,Stealth,Everyone 10+
4954,18,1,Adventure,1,Action-Adventure,Everyone 10+
4920,0,1,Action,1,exclusive,Everyone 10+
4915,19,3,Action,3,Multiplayer,Everyone 10+
4910,4,4,Action,4,Steam Achievements,Everyone 10+
4900,6,4,Simulation,4,steam-trading-cards,Everyone 10+
4893,11,3,Adventure,5,Steam Achievements,Everyone 10+
4883,6,3,Action,3,Steam Achievements,Everyone 10+
4877,4,6,Adventure,7,Steam Achievements,Everyone 10+
4868,7,3,Action,5,Steam Achievements,Everyone 10+
4865,5,6,Shooter,6,Steam Achievements,Everyone 10+
4853,4,6,Adventure,6,Steam Achievements,Mature
4852,6,5,Indie,4,Multiplayer,Mature
4834,3,7,Indie,7,Steam Achievements,Mature
4827,3,7,Puzzle,7,steam-trading-cards,Mature
4821,3,5,Indie,7,Steam Achievements,Mature
4820,4,2,Adventure,3,Steam Achievements,Mature
4820,10,4,Adventure,5,Steam Achievements,Mature
4818,2,4,Action,1,Atmospheric,Mature
4813,3,3,Action,1,Multiplayer,Mature
4787,5,3,Shooter,4,Steam Achievements,Mature
4780,14,3,Adventure,2,Multiplayer,Mature
4770,8,6,Action,6,Steam Achievements,Mature
4755,10,7,Action,9,Atmospheric,Mature
4740,8,6,RPG,6,Steam Achievements,Mature
4736,3,2,Action,5,Atmospheric,Mature
4714,14,1,Adventure,1,Horror,Mature
4707,5,2,Action,2,Multiplayer,Mature
4704,28,3,RPG,3,Multiplayer,Mature
4698,4,2,Shooter,2,Steam Achievements,Mature
4676,14,4,Shooter,4,Multiplayer,Mature
4670,5,4,Adventure,3,Multiplayer,Teen
4655,7,2,Action,2,Steam Achievements,Teen
4654,3,3,Casual,2,Steam Achievements,Teen
4649,15,7,Strategy,6,Steam Achievements,Teen
4626,9,5,Adventure,5,Multiplayer,Teen
4621,4,4,Indie,4,Steam Achievements,Teen
4620,13,4,Adventure,3,Exploration,Teen
4609,14,1,RPG,1,Steam Achievements,Teen
4607,4,3,Simulation,1,Steam Achievements,Teen
4595,5,3,RPG,3,RPG,Teen
4581,10,7,RPG,8,Steam Achievements,Teen
4570,3,6,Simulation,6,Steam Achievements,Teen
4569,6,4,Shooter,4,Steam Achievements,Teen
4565,5,4,Action,5,Steam Achievements,Teen
4565,6,7,Shooter,4,Steam Achievements,Teen
4562,7,2,Strategy,2,Multiplayer,Teen
4554,21,4,Strategy,2,Multiplayer,Teen
4552,5,3,Shooter,2,Steam Achievements,Teen
4547,4,6,RPG,5,Steam Achievements,Teen
4543,8,4,RPG,5,Atmospheric,Teen
4541,8,5,Action,5,Steam Achievements,Everyone 10+
4537,4,3,RPG,4,Steam Achievements,Everyone 10+
4501,4,3,Strategy,2,Steam Achievements,Everyone 10+
4500,3,4,Action,3,Multiplayer,Everyone 10+
4471,4,7,Action,7,Steam Achievements,Everyone 10+
4457,7,3,RPG,3,Steam Achievements,Everyone 10+
4447,10,3,Action,2,Steam Achievements,Everyone 10+
4409,6,4,Action,3,War,Everyone 10+
4402,6,4,Adventure,6,Full controller support,Everyone 10+
4400,3,4,Action,5,Multiplayer,Everyone 10+
4384,121,1,Action,1,RPG,Everyone 10+
4375,3,3,RPG,1,Steam Achievements,Everyone 10+
4373,4,3,Strategy,4,Steam Achievements,Everyone 10+
4366,5,7,Adventure,7,Atmospheric,Everyone 10+
4365,8,6,Action,6,Steam Achievements,Everyone 10+
4364,1,4,Racing,5,Online multiplayer,Everyone 10+
4353,2,6,Platformer,5,Steam Achievements,Everyone 10+
4347,2,3,Action,4,Atmospheric,Everyone 10+
4334,4,3,Action,1,Steam Achievements,Everyone 10+
4325,5,5,Platformer,3,Steam Achievements,Everyone 10+
4323,0,1,Arcade,1,exclusive,Teen
4321,1,3,Shooter,2,Multiplayer,Teen
4319,24,3,Action,4,Multiplayer,Teen
4305,1,1,Strategy,2,Multiplayer,Teen
4298,4,5,Action,5,Steam Achievements,Teen
4289,5,3,Action,4,Steam Achievements,Teen
4288,4,1,Action,1,Steam Achievements,Teen
4272,3,5,Shooter,3,Steam Achievements,Teen
4265,5,5,Strategy,5,Steam Achievements,Teen
4260,3,6,Indie,7,Steam Achievements,Teen
4257,1,7,Platformer,3,Atmospheric,Teen
4233,18,5,RPG,1,Steam Achievements,Teen
4225,3,6,Platformer,5,Steam Achievements,Teen
4224,13,2,Massively Multiplayer,2,Steam Achievements,Teen
4223,24,2,Shooter,3,Multiplayer,Teen
4222,13,5,Adventure,2,Atmospheric,Teen
4218,1,3,Action,1,Multiplayer,Teen
4186,3,4,Indie,5,Atmospheric,Teen
4173,5,3,Adventure,4,Steam Achievements,Teen
4160,3,3,Indie,2,Steam Achievements,Teen
4156,1,3,Indie,3,Steam Achievements,Mature
4147,1,3,Indie,1,Steam Achievements,Mature
4144,4,5,Platformer,2,Steam Achievements,Mature
4140,3,5,Action,5,Steam Achievements,Mature
4137,8,5,RPG,4,Steam Achievements,Mature
4137,11,3,Indie,1,Steam Achievements,Mature
4132,4,3,Action,3,Steam Achievements,Mature
4122,22,3,RPG,3,Steam Achievements,Mature
4117,3,5,Adventure,4,Steam Achievements,Mature
4114,7,3,Shooter,5,Steam Achievements,Mature
4087,13,5,Indie,1,Multiplayer,Mature
4086,6,4,Action,5,Steam Achievements,Mature
4079,5,3,Action,3,Steam Achievements,Mature
4066,11,7,Adventure,8,Steam Achievements,Mature
4061,4,3,Shooter,4,steam-trading-cards,Mature
4055,5,6,Simulation,5,Steam Achievements,Mature
4054,1,3,Action,1,Multiplayer,Mature
4048,4,3,Action,2,Steam Achievements,Mature
4040,5,2,Strategy,1,Steam Achievements,Mature
4026,4,5,Action,3,Steam Achievements,Mature
4024,11,2,Action,3,Steam Achievements,Teen
4010,32,7,RPG,5,Steam Achievements,Teen
4008,7,3,Action,5,Steam Achievements,Teen
4006,3,5,Adventure,3,Steam Achievements,Teen
